seed,family,noise,w_u,w_g,w_d,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy,method
12,waviness,0.008,0.4,0.2,0.4,0.010544006236751925,0.00812964508663768,0.9376,0.47297297297297297,39,35,4,547,0.1184,0.527027027027027,0.9069767441860465,0.007259528130671506,0.7598837494481777,evidence_tuned_frozen
12,local_defect,0.003,0.4,0.2,0.4,0.0035358598905009925,0.0026443318050502753,0.9952,0.043478260869565216,22,1,2,600,0.0368,0.9565217391304348,0.9166666666666666,0.0033222591362126247,0.9765997399971111,evidence_tuned_frozen
12,local_defect,0.008,0.4,0.2,0.4,0.0070118745016746935,0.005546218227044222,0.9888,0.043478260869565216,22,1,6,596,0.0368,0.9565217391304348,0.7857142857142857,0.009966777408637873,0.9732774808608985,evidence_tuned_frozen
12,mixed,0.003,0.4,0.2,0.4,0.006217402929980629,0.004676924478403656,0.9856,0.25,18,6,3,598,0.0384,0.75,0.8571428571428571,0.004991680532445923,0.872504159733777,evidence_tuned_frozen
12,mixed,0.008,0.4,0.2,0.4,0.008387322081960177,0.00668334920158195,0.9792,0.2916666666666667,17,7,6,595,0.0384,0.7083333333333334,0.7391304347826086,0.009983361064891847,0.8491749861342208,evidence_tuned_frozen
13,smooth,0.003,0.4,0.2,0.4,0.002996800796559078,0.0022202503789779775,0.984,0.24,19,6,4,596,0.04,0.76,0.8260869565217391,0.006666666666666667,0.8766666666666667,evidence_tuned_frozen
13,smooth,0.008,0.4,0.2,0.4,0.005415688036569721,0.004312862596360323,0.9792,0.44,14,11,2,598,0.04,0.56,0.875,0.0033333333333333335,0.7783333333333333,evidence_tuned_frozen
13,waviness,0.003,0.4,0.2,0.4,0.011831494558555112,0.008483591752811801,0.9552,0.4406779661016949,33,26,2,564,0.0944,0.559322033898305,0.9428571428571428,0.0035335689045936395,0.7778942324968556,evidence_tuned_frozen
13,waviness,0.008,0.4,0.2,0.4,0.012073990540814929,0.00948568947575957,0.9504,0.5084745762711864,29,30,1,565,0.0944,0.4915254237288136,0.9666666666666667,0.0017667844522968198,0.7448793196382584,evidence_tuned_frozen
13,local_defect,0.003,0.4,0.2,0.4,0.004290513975197899,0.0025362914936745066,0.992,0.03333333333333333,29,1,4,591,0.048,0.9666666666666667,0.8787878787878788,0.0067226890756302525,0.9799719887955183,evidence_tuned_frozen
13,local_defect,0.008,0.4,0.2,0.4,0.005836748875600908,0.004623937294892874,0.9936,0.0,30,0,4,591,0.048,1.0,0.8823529411764706,0.0067226890756302525,0.9966386554621849,evidence_tuned_frozen
13,mixed,0.003,0.4,0.2,0.4,0.004120554871846026,0.0031404989662124636,0.9904,0.10344827586206896,26,3,3,593,0.0464,0.896551724137931,0.896551724137931,0.0050335570469798654,0.9457590835454757,evidence_tuned_frozen
13,mixed,0.008,0.4,0.2,0.4,0.007311663813086715,0.005931868019866223,0.9744,0.41379310344827586,17,12,4,592,0.0464,0.5862068965517241,0.8095238095238095,0.006711409395973154,0.7897477435778755,evidence_tuned_frozen
14,smooth,0.003,0.4,0.2,0.4,0.0026261120652965302,0.002097679417205668,0.9904,0.20833333333333334,19,5,1,600,0.0384,0.7916666666666666,0.95,0.0016638935108153079,0.8950013865779256,evidence_tuned_frozen
14,smooth,0.008,0.4,0.2,0.4,0.00607107325387583,0.004839820200779786,0.9856,0.125,21,3,6,595,0.0384,0.875,0.7777777777777778,0.009983361064891847,0.9325083194675541,evidence_tuned_frozen
14,waviness,0.003,0.4,0.2,0.4,0.012113990729491883,0.008299544594483487,0.9472,0.5084745762711864,29,30,3,563,0.0944,0.4915254237288136,0.90625,0.00530035335689046,0.7431125351859615,evidence_tuned_frozen
14,waviness,0.008,0.4,0.2,0.4,0.013354616716977123,0.010177499430909428,0.9264,0.6949152542372882,18,41,5,561,0.0944,0.3050847457627119,0.782608695652174,0.0088339222614841,0.6481254117506139,evidence_tuned_frozen
14,local_defect,0.003,0.4,0.2,0.4,0.002743465908574054,0.002213940301590628,0.9984,0.0,10,0,1,614,0.016,1.0,0.9090909090909091,0.0016260162601626016,0.9991869918699188,evidence_tuned_frozen
14,local_defect,0.008,0.4,0.2,0.4,0.005250934887019579,0.004201524941541336,0.9984,0.0,10,0,1,614,0.016,1.0,0.9090909090909091,0.0016260162601626016,0.9991869918699188,evidence_tuned_frozen
14,mixed,0.003,0.4,0.2,0.4,0.004708792498262224,0.0035209166264702665,0.9856,0.23076923076923078,10,3,6,606,0.0208,0.7692307692307693,0.625,0.00980392156862745,0.8797134238310709,evidence_tuned_frozen
14,mixed,0.008,0.4,0.2,0.4,0.006355914410620277,0.005122429447161375,0.9904,0.15384615384615385,11,2,4,608,0.0208,0.8461538461538461,0.7333333333333333,0.006535947712418301,0.919808949220714,evidence_tuned_frozen
