placement,family,noise,seed,method,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
geometry_independent,mixed,0.003,3,uncertainty_only,0.004747695513955753,0.0032582957094518476,0.9712,0.34146341463414637,27,14,4,580,0.0656,0.6585365853658537,0.8709677419354839,0.00684931506849315,0.8258436351486802
geometry_independent,mixed,0.003,3,two_sided_straddle,0.004892329543395929,0.0036944170263404578,0.9808,0.17073170731707318,34,7,5,579,0.0656,0.8292682926829268,0.8717948717948718,0.008561643835616438,0.9103533244236552
geometry_independent,mixed,0.003,3,posterior_risk,0.007004486709223055,0.00479901437729355,0.992,0.07317073170731707,38,3,2,582,0.0656,0.926829268292683,0.95,0.003424657534246575,0.9617023053792182
geometry_independent,mixed,0.003,3,evidence_no_geometry,0.005037669090848369,0.0036909142448245027,0.9952,0.07317073170731707,38,3,0,584,0.0656,0.926829268292683,1.0,0.0,0.9634146341463414
geometry_independent,mixed,0.003,3,evidence_gated,0.004818679505440693,0.0036980204444818994,0.9872,0.0975609756097561,37,4,4,580,0.0656,0.9024390243902439,0.9024390243902439,0.00684931506849315,0.9477948546608754
geometry_independent,mixed,0.003,4,uncertainty_only,0.0045284835385306175,0.0032254986040191826,0.984,0.2,16,4,6,599,0.032,0.8,0.7272727272727273,0.009917355371900827,0.8950413223140496
geometry_independent,mixed,0.003,4,two_sided_straddle,0.005996237321441781,0.004472338184733184,0.9856,0.15,17,3,6,599,0.032,0.85,0.7391304347826086,0.009917355371900827,0.9200413223140496
geometry_independent,mixed,0.003,4,posterior_risk,0.007105489561048532,0.0053754100153133345,0.9904,0.1,18,2,4,601,0.032,0.9,0.8181818181818182,0.006611570247933884,0.9466942148760331
geometry_independent,mixed,0.003,4,evidence_no_geometry,0.005774193375160063,0.004253325323872588,0.9904,0.15,17,3,3,602,0.032,0.85,0.85,0.0049586776859504135,0.9225206611570248
geometry_independent,mixed,0.003,4,evidence_gated,0.006332734757709827,0.004564855180205336,0.9888,0.15,17,3,4,601,0.032,0.85,0.8095238095238095,0.006611570247933884,0.921694214876033
geometry_independent,mixed,0.003,5,uncertainty_only,0.004626329501627977,0.0031467331358914796,0.9808,0.5882352941176471,7,10,2,606,0.0272,0.4117647058823529,0.7777777777777778,0.003289473684210526,0.7042376160990712
geometry_independent,mixed,0.003,5,two_sided_straddle,0.006021448895676403,0.003647532411014862,0.9808,0.5882352941176471,7,10,2,606,0.0272,0.4117647058823529,0.7777777777777778,0.003289473684210526,0.7042376160990712
geometry_independent,mixed,0.003,5,posterior_risk,0.007443136658363976,0.004953155528977755,0.9792,0.6470588235294118,6,11,2,606,0.0272,0.35294117647058826,0.75,0.003289473684210526,0.6748258513931888
geometry_independent,mixed,0.003,5,evidence_no_geometry,0.006409385653808021,0.004118774235697148,0.9792,0.6470588235294118,6,11,2,606,0.0272,0.35294117647058826,0.75,0.003289473684210526,0.6748258513931888
geometry_independent,mixed,0.003,5,evidence_gated,0.0038172643484778814,0.0029149130930522654,0.9904,0.17647058823529413,14,3,3,605,0.0272,0.8235294117647058,0.8235294117647058,0.004934210526315789,0.9092976006191951
geometry_independent,mixed,0.003,6,uncertainty_only,0.0033664920829853083,0.002452453541486262,0.9888,0.125,21,3,4,597,0.0384,0.875,0.84,0.0066555740432612314,0.9341722129783694
geometry_independent,mixed,0.003,6,two_sided_straddle,0.004566588638038307,0.0033760925547723333,0.9904,0.16666666666666666,20,4,2,599,0.0384,0.8333333333333334,0.9090909090909091,0.0033277870216306157,0.9150027731558514
geometry_independent,mixed,0.003,6,posterior_risk,0.006508795793893569,0.004871450165796184,0.992,0.08333333333333333,22,2,3,598,0.0384,0.9166666666666666,0.88,0.004991680532445923,0.9558374930671103
geometry_independent,mixed,0.003,6,evidence_no_geometry,0.004815922917428127,0.0035893426225421707,0.9952,0.0,24,0,3,598,0.0384,1.0,0.8888888888888888,0.004991680532445923,0.997504159733777
geometry_independent,mixed,0.003,6,evidence_gated,0.005045915499967292,0.003636968598778347,0.9888,0.041666666666666664,23,1,6,595,0.0384,0.9583333333333334,0.7931034482758621,0.009983361064891847,0.9741749861342208
geometry_independent,mixed,0.003,7,uncertainty_only,0.0050124838274014,0.0030630018615278695,0.9776,0.375,20,12,2,591,0.0512,0.625,0.9090909090909091,0.003372681281618887,0.8108136593591906
geometry_independent,mixed,0.003,7,two_sided_straddle,0.007995396213195238,0.004911555651005423,0.9808,0.28125,23,9,3,590,0.0512,0.71875,0.8846153846153846,0.00505902192242833,0.8568454890387858
geometry_independent,mixed,0.003,7,posterior_risk,0.008984834042638832,0.005677506582965384,0.968,0.40625,19,13,7,586,0.0512,0.59375,0.7307692307692307,0.011804384485666104,0.7909728077571669
geometry_independent,mixed,0.003,7,evidence_no_geometry,0.005802065169960316,0.004036582506651109,0.9808,0.15625,27,5,7,586,0.0512,0.84375,0.7941176470588235,0.011804384485666104,0.9159728077571669
geometry_independent,mixed,0.003,7,evidence_gated,0.007026883778157817,0.00487841060941346,0.9792,0.15625,27,5,8,585,0.0512,0.84375,0.7714285714285715,0.013490725126475547,0.9151296374367622
geometry_independent,mixed,0.008,0,uncertainty_only,0.0072852920790401135,0.00587593829802032,0.9696,0.4090909090909091,13,9,10,593,0.0352,0.5909090909090909,0.5652173913043478,0.01658374792703151,0.7871626714910297
geometry_independent,mixed,0.008,0,two_sided_straddle,0.00947745770452903,0.007433172847039222,0.9744,0.2727272727272727,16,6,10,593,0.0352,0.7272727272727273,0.6153846153846154,0.01658374792703151,0.8553444896728479
geometry_independent,mixed,0.008,0,posterior_risk,0.00842793356609531,0.006494706395026365,0.9776,0.18181818181818182,18,4,10,593,0.0352,0.8181818181818182,0.6428571428571429,0.01658374792703151,0.9007990351273933
geometry_independent,mixed,0.008,0,evidence_no_geometry,0.008456180883465517,0.006659391410242778,0.9776,0.13636363636363635,19,3,11,592,0.0352,0.8636363636363636,0.6333333333333333,0.01824212271973466,0.9226971204583145
geometry_independent,mixed,0.008,0,evidence_gated,0.008209762693734753,0.00637406357596768,0.9776,0.22727272727272727,17,5,9,594,0.0352,0.7727272727272727,0.6538461538461539,0.014925373134328358,0.8789009497964722
geometry_independent,mixed,0.008,1,uncertainty_only,0.007163579565743484,0.00568032008821961,0.9872,0.19230769230769232,21,5,3,596,0.0416,0.8076923076923077,0.875,0.005008347245409015,0.9013419802234494
geometry_independent,mixed,0.008,1,two_sided_straddle,0.0081926533748947,0.006215581948291014,0.992,0.0,26,0,5,594,0.0416,1.0,0.8387096774193549,0.008347245409015025,0.9958263772954925
geometry_independent,mixed,0.008,1,posterior_risk,0.009823146111393682,0.007567454835551963,0.9904,0.15384615384615385,22,4,2,597,0.0416,0.8461538461538461,0.9166666666666666,0.00333889816360601,0.9214074739951201
geometry_independent,mixed,0.008,1,evidence_no_geometry,0.008471112239668909,0.006494374036413703,0.9904,0.038461538461538464,25,1,5,594,0.0416,0.9615384615384616,0.8333333333333334,0.008347245409015025,0.9765956080647233
geometry_independent,mixed,0.008,1,evidence_gated,0.006916930200040915,0.005506600841265179,0.9904,0.11538461538461539,23,3,3,596,0.0416,0.8846153846153846,0.8846153846153846,0.005008347245409015,0.9398035186849878
geometry_independent,mixed,0.008,2,uncertainty_only,0.007064204129817675,0.005565292156744925,0.976,0.10526315789473684,17,2,13,593,0.0304,0.8947368421052632,0.5666666666666667,0.02145214521452145,0.9366423484453709
geometry_independent,mixed,0.008,2,two_sided_straddle,0.00733294775588261,0.005761026208164419,0.9824,0.3157894736842105,13,6,5,601,0.0304,0.6842105263157895,0.7222222222222222,0.00825082508250825,0.8379798506166406
geometry_independent,mixed,0.008,2,posterior_risk,0.00944472172532026,0.0076265160759833505,0.9824,0.10526315789473684,17,2,9,597,0.0304,0.8947368421052632,0.6538461538461539,0.01485148514851485,0.9399426784783742
geometry_independent,mixed,0.008,2,evidence_no_geometry,0.006654027757988578,0.005279371623423819,0.984,0.21052631578947367,15,4,6,600,0.0304,0.7894736842105263,0.7142857142857143,0.009900990099009901,0.8897863470557582
geometry_independent,mixed,0.008,2,evidence_gated,0.008635779844093675,0.0066978093589989485,0.9776,0.3157894736842105,13,6,8,598,0.0304,0.6842105263157895,0.6190476190476191,0.013201320132013201,0.8355046030918881
geometry_independent,mixed,0.008,3,uncertainty_only,0.007686390959948659,0.006090922818090477,0.9616,0.34146341463414637,27,14,10,574,0.0656,0.6585365853658537,0.7297297297297297,0.017123287671232876,0.8207066488473105
geometry_independent,mixed,0.008,3,two_sided_straddle,0.008093232846592014,0.006457431435982689,0.9744,0.2682926829268293,30,11,5,579,0.0656,0.7317073170731707,0.8571428571428571,0.008561643835616438,0.8615728366187771
geometry_independent,mixed,0.008,3,posterior_risk,0.008810561434706375,0.0070527960584426215,0.976,0.24390243902439024,31,10,5,579,0.0656,0.7560975609756098,0.8611111111111112,0.008561643835616438,0.8737679585699967
