seed,family,noise,method,length_scale,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
4,smooth,0.008,uncertainty_only,0.1,0.0063822981106641495,0.0048386790149965225,0.9936,0.13636363636363635,19,3,1,602,0.0352,0.8636363636363636,0.95,0.001658374792703151,0.9309889944218303
4,smooth,0.008,two_sided_straddle,0.1,0.006330326624970872,0.004991346846974725,0.9904,0.18181818181818182,18,4,2,601,0.0352,0.8181818181818182,0.9,0.003316749585406302,0.9074325342982059
4,smooth,0.008,evidence_gated,0.1,0.006795194915876552,0.005421672011231978,0.9904,0.09090909090909091,20,2,4,599,0.0352,0.9090909090909091,0.8333333333333334,0.006633499170812604,0.9512287049600483
4,waviness,0.003,uncertainty_only,0.1,0.008404633323734458,0.005935825142277075,0.9408,0.6470588235294118,18,33,4,570,0.0816,0.35294117647058826,0.8181818181818182,0.006968641114982578,0.6729862676778028
4,waviness,0.003,two_sided_straddle,0.1,0.010600304187352399,0.007412069401024109,0.944,0.5882352941176471,21,30,5,569,0.0816,0.4117647058823529,0.8076923076923077,0.008710801393728223,0.7015269522443124
4,waviness,0.003,evidence_gated,0.1,0.012665774418046852,0.009097743740762077,0.9408,0.6274509803921569,19,32,5,569,0.0816,0.37254901960784315,0.7916666666666666,0.008710801393728223,0.6819191091070574
4,waviness,0.008,uncertainty_only,0.1,0.00910661419117725,0.007187449305470168,0.9296,0.7254901960784313,14,37,7,567,0.0816,0.27450980392156865,0.6666666666666666,0.012195121951219513,0.6311573409851745
4,waviness,0.008,two_sided_straddle,0.1,0.012712593753509135,0.009562308269205665,0.9296,0.7254901960784313,14,37,7,567,0.0816,0.27450980392156865,0.6666666666666666,0.012195121951219513,0.6311573409851745
4,waviness,0.008,evidence_gated,0.1,0.012464631474914641,0.009403947559459815,0.9424,0.5294117647058824,24,27,9,565,0.0816,0.47058823529411764,0.7272727272727273,0.0156794425087108,0.7274543963927034
4,local_defect,0.003,uncertainty_only,0.1,0.003914986175044285,0.0026569826232639717,0.992,0.043478260869565216,22,1,4,598,0.0368,0.9565217391304348,0.8461538461538461,0.006644518272425249,0.9749386104290048
4,local_defect,0.003,two_sided_straddle,0.1,0.0034778685726873605,0.002548568481330208,0.9968,0.0,23,0,2,600,0.0368,1.0,0.92,0.0033222591362126247,0.9983388704318936
4,local_defect,0.003,evidence_gated,0.1,0.003281096728259669,0.002325646673412217,0.9984,0.0,23,0,1,601,0.0368,1.0,0.9583333333333334,0.0016611295681063123,0.9991694352159468
4,local_defect,0.008,uncertainty_only,0.1,0.006382748462327313,0.0048651622861669505,0.9888,0.13043478260869565,20,3,4,598,0.0368,0.8695652173913043,0.8333333333333334,0.006644518272425249,0.9314603495594396
4,local_defect,0.008,two_sided_straddle,0.1,0.006342261123688674,0.0051597192923775485,0.992,0.08695652173913043,21,2,3,599,0.0368,0.9130434782608695,0.875,0.0049833887043189366,0.9540300447782752
4,local_defect,0.008,evidence_gated,0.1,0.006028990486923677,0.00485872354897714,0.992,0.08695652173913043,21,2,3,599,0.0368,0.9130434782608695,0.875,0.0049833887043189366,0.9540300447782752
4,mixed,0.003,uncertainty_only,0.1,0.00432152161009401,0.0033119488517691464,0.9856,0.15151515151515152,28,5,4,588,0.0528,0.8484848484848485,0.875,0.006756756756756757,0.9208640458640458
4,mixed,0.003,two_sided_straddle,0.1,0.007452487712673523,0.005132149982886759,0.9872,0.09090909090909091,30,3,5,587,0.0528,0.9090909090909091,0.8571428571428571,0.008445945945945946,0.9503224815724816
