seed,family,noise,method,budget,rmse,mae,decision_agreement,missed_exceedance,mean_std,q95_std,label_change,critical_q95_std,confidence_q05,ambiguous_90,gate_fired,gate_budget,gate_success,exceedance_fraction,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
0,smooth,0.008,two_sided_straddle,100,0.006124640043130946,0.004786585342826038,0.984,0.05263157894736842,0.015338408035193169,0.024748973127267745,0.0032,0.02517197511391457,0.719271332935485,0.4336,False,,,0.0304,18,1,9,597,0.0304,0.9473684210526315,0.6666666666666666,0.01485148514851485,0.9662584679520583
0,smooth,0.008,randomized_straddle,100,0.005839077770956894,0.004650924162431049,0.9856,0.10526315789473684,0.016504494974969437,0.025651427786146645,0.0,0.025787235087556582,0.717947723047356,0.5152,False,,,0.0304,17,2,7,599,0.0304,0.8947368421052632,0.7083333333333334,0.01155115511551155,0.9415928434948758
0,smooth,0.008,posterior_risk,100,0.006937692008452583,0.005327801333616842,0.9824,0.21052631578947367,0.016745547384449666,0.025914443003232264,0.0,0.02600507993953831,0.764108343621356,0.5504,False,,,0.0304,15,4,7,599,0.0304,0.7894736842105263,0.6818181818181818,0.01155115511551155,0.8889612645475073
0,smooth,0.008,evidence_no_geometry,100,0.006591854986425342,0.005239153839681725,0.9792,0.10526315789473684,0.014878668259778943,0.021489048849922497,0.0016,0.021564731194649096,0.7197099842360242,0.408,False,,,0.0304,17,2,11,595,0.0304,0.8947368421052632,0.6071428571428571,0.018151815181518153,0.9382925134618725
0,smooth,0.008,risk_geometry,100,0.0069882550897485095,0.005562057889765586,0.9808,0.15789473684210525,0.01643554310615368,0.025224552796280036,0.0016,0.025286119177933535,0.7677911022238388,0.4736,False,,,0.0304,16,3,9,597,0.0304,0.8421052631578947,0.64,0.01485148514851485,0.9136268890046899
0,waviness,0.003,space_filling,100,0.005674750713716465,0.004295006021344096,0.9312,0.5,0.012153785171622375,0.01866275627093908,0.0032,0.01914444414129863,0.603626443319801,0.3456,False,,,0.1184,37,37,6,545,0.1184,0.5,0.8604651162790697,0.010889292196007259,0.7445553539019965
0,waviness,0.003,geometry_only,100,0.010189960491453338,0.006867098768716698,0.9296,0.581081081081081,0.013700349403757195,0.022701609541372576,0.0032,0.02298772834520077,0.6325582987378509,0.4368,False,,,0.1184,31,43,1,550,0.1184,0.4189189189189189,0.96875,0.0018148820326678765,0.7085520184431255
0,waviness,0.003,uncertainty_only,100,0.005959182216384558,0.004499506146519412,0.9376,0.5135135135135135,0.012200202295916208,0.018738674338793563,0.0032,0.019137301763658604,0.6089677592432595,0.32,False,,,0.1184,36,38,1,550,0.1184,0.4864864864864865,0.972972972972973,0.0018148820326678765,0.7423358022269093
0,waviness,0.003,evidence_gated,100,0.01021195187838151,0.00748664307529605,0.9536,0.33783783783783783,0.015032535377107257,0.02515963774888613,0.0,0.025668295170478805,0.7192728274039076,0.5152,False,,,0.1184,49,25,4,547,0.1184,0.6621621621621622,0.9245283018867925,0.007259528130671506,0.8274513170157454
0,waviness,0.003,two_sided_straddle,100,0.010359962394244542,0.007407858961008283,0.9568,0.28378378378378377,0.014210150633885973,0.024648856464012842,0.008,0.02472302786754672,0.6719827315762303,0.4224,False,,,0.1184,53,21,6,545,0.1184,0.7162162162162162,0.8983050847457628,0.010889292196007259,0.8526634620101046
0,waviness,0.003,randomized_straddle,100,0.012771758237627119,0.009159994344966591,0.9424,0.4189189189189189,0.015561568417813722,0.025720312790247352,0.0048,0.02591747279787584,0.7106521678427746,0.52,False,,,0.1184,43,31,5,546,0.1184,0.581081081081081,0.8958333333333334,0.009074410163339383,0.7860033354588708
0,waviness,0.003,posterior_risk,100,0.014114829515727777,0.0100983738602192,0.9504,0.36486486486486486,0.016641701552634055,0.02915700936253317,0.008,0.029408858765995704,0.6764296962212332,0.6096,False,,,0.1184,47,27,4,547,0.1184,0.6351351351351351,0.9215686274509803,0.007259528130671506,0.8139378035022318
0,waviness,0.003,evidence_no_geometry,100,0.011492809122920604,0.008299683733641226,0.9488,0.3918918918918919,0.014949029993514384,0.024862668238616714,0.0,0.025224229794124305,0.7231753788782355,0.4976,False,,,0.1184,45,29,3,548,0.1184,0.6081081081081081,0.9375,0.0054446460980036296,0.8013317310050523
0,waviness,0.003,risk_geometry,100,0.014456501439465289,0.010318601461124951,0.944,0.40540540540540543,0.01642278808528702,0.028478122130333662,0.0064,0.028717188693746527,0.689703906506799,0.592,False,,,0.1184,44,30,5,546,0.1184,0.5945945945945946,0.8979591836734694,0.009074410163339383,0.7927600922156276
0,waviness,0.008,space_filling,100,0.008894850423275138,0.007115434634274844,0.9168,0.5945945945945946,0.013908628451164015,0.019487944199375516,0.0112,0.019865076468208464,0.5857647515096608,0.4192,False,,,0.1184,30,44,8,543,0.1184,0.40540540540540543,0.7894736842105263,0.014519056261343012,0.6954431745720312
0,waviness,0.008,geometry_only,100,0.012568254439854432,0.00931069985202071,0.9136,0.5945945945945946,0.015348954333452852,0.023390581319829077,0.0048,0.02359606676130824,0.5930587282517356,0.5008,False,,,0.1184,30,44,10,541,0.1184,0.40540540540540543,0.75,0.018148820326678767,0.6936282925393633
0,waviness,0.008,uncertainty_only,100,0.008616155965370145,0.00695585936933664,0.9168,0.5540540540540541,0.013804423940147309,0.018613044555696425,0.0064,0.018816746913945463,0.5934485825856608,0.3856,False,,,0.1184,33,41,11,540,0.1184,0.44594594594594594,0.75,0.019963702359346643,0.7129911217932996
0,waviness,0.008,evidence_gated,100,0.013162353337978381,0.010240079084808167,0.9296,0.4864864864864865,0.016342685376189287,0.025500766346047404,0.008,0.025573253875736442,0.6372472595358879,0.6368,False,,,0.1184,38,36,8,543,0.1184,0.5135135135135135,0.8260869565217391,0.014519056261343012,0.7494972286260853
